"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SAUSA300_RS14705",80.4777413122387,-0.450193041714754,0.365026213046137,-1.23331702114733,0.21745750989719,0.497301363320097
"SAUSA300_RS14710",47.970749711546,0.369172080110694,0.380186780240607,0.971028187453172,0.331534242213398,0.497301363320097
"SAUSA300_RS14715",94.4580275307871,0.0104808655531541,0.180319435599107,0.05812388175646,0.953649951656993,0.953649951656993
